1,"So many problems! I read the negative reviews here but have been using Quicken forever so I figured any issues would be worked out by now. Unfortunately I was wrong<br />Problems I ran into<br />- Resolution of running app in Windows 8.1 is all kinds of messed up, giant fonts mixed with tiny fonts, looks like a middle school &#34;my first window app&#34;<br />- Wells Fargo regular transaction download stopped working after the first synch. Looking at the support forums at quicken, this is a common issue. Ended up having to get the direct download which costs me $3/mo from Wells Fargo - Never had to do this with previous versions of Quicken<br />- After about a week, anytime I run the update to download new transactions, Quicken just crashes. Again, looking at support forums, this is common too<br /><br />Seriously, do not buy this right now, it's the buggiest software I've ever purchased. I wish I could return this!"
2,the newer version does not contain features I used all the time. things should improve not get worse. why do software creators always think they know best? I wish I never updated
1,"I've always bought Deluxe - because it includes the state download.  well, why on earth would i think that this year deluxe doesn't include state?  honestly!  i could have bought the 49.99 version with state (which means it cost 10.00 more for state, or this version that has now cost me an ADDITIONAL 39.99!!!  so i just spent 80.00 on something being sold for 50.00.  i haven't submitted my taxes yet, so Lord knows how much THAT's gonna cost me.  very sneaky amazon/turbotax.  kudos to you for dupping so many people.  guess i'll have to get the Amazon gift card in order to get the bonus in order to cover the extra money i had to spend."
2,I hate Taxes....but this a great program
4,worked better than previous years / versions of TurboTax.
2,"The old version of Avast was great. This new version (2014.9.0.2021) is terrible. Our XP platforms are slowed to a crawl and often freeze up while Avast uses all the cycles. The Avast tech wanted over $100 to fix each platform, claiming it was junk that didn't belong there. Well, if Avast is so damned great, why is it there in the first place? And why won't a deep scan by the new piece of garbage find the problems and fix them?<br /><br />My BS indicator is pinging away like mad. I suspect some Norton programers got onto their team because it's now just as bad as Norton was the last time I made the mistake of using it.<br /><br />Gotta either find out how to fall back to the old version or find a virus tool that works right."
1,"The Business program has serious problems.  After creating an IRS 1041 (trust) return one day, I tried to continue working on it the next day, but the program would not load the same 1041 file it had created and saved the day before.  It got the file about half loaded (54%) and then completely crashed. I tried several times and even restored from the back up file, all with the exact same result.  H&R Block's support is absolutely horrible!  My on-line chat session, which was going nowhere fast, terminated without explanation. Calling the support number gets you into automated hell.    After 2 unsuccessful attempts on the telephone in which I was supposed to be transferred to the next support level but was instead dropped by the system, I finally spoke with a more knowledgeable support person who eventually agreed with me that I had indeed found a bug in the software which reliably caused it to crash. She escalated the problem and promised that I would hear from someone in the next few days.  I realize that these programs are updated each year within very tight time frames, but it would seem that adequate testing may require more resources than they have allocated.  I must also add that I have had similar experiences with Intuit, and the separate TurboTax products that cover what this H&R Block software package covers, add up to a significantly higher cost."
2,Gets worse with every version
4,"I grabbed Movavi Video Suite because I needed a screen video capture device and didn't want to spend hundreds of dollars for Camtasia yet, I also though the free CamStudio wasn't good enough for what I needed. I actually asked many friends who turned me on to a dozen screen capture software programs, but many expected a monthly subscription fee. Not buying. So, when a friend suggested Movavi, I was kind of shocked, because I am a Movavi user (Movavi 8) for converting video and audio files but had no idea that they also did video editing and screen capture. The program worked great for my use, and I found myself exploring the video editing capabilities as well. It is very similar to Windows Movie Maker which I've used for years. While I am still playing with the editing suite, and haven't actually saved a movie yet, I can only comment on the ease of the basic use. Nice options for animations, editing, etc. all the basics, so far. But I am not sure how quickly it saves the movie. Still, I have a good feeling I'll be dropping movie Maker and moving to Movavi. I do like that Movavi has two lines for audio. I only wish they offered multiple video lines in case you shot something from multiple views/cameras, so you could line up the video and pick/choose which shot to add you your movie. Still, for the price of the suite, which also offers the ability to convert types if files, you cannot go wrong with this suite!"
1,"DO NOT BUY THIS SOFTWARE!  I downloaded the software and entered in all of my tax information last week.  Then I got caught in an endless loop of asking me to install updates, which installed correctly according to my machine.  But, the software never actually updated, and the return won't move forward until you update!  I bet I installed the update 30 times.  After sitting on the help line for 2 hours they raised my status to a \\""Tier 2\\"" priority and indicated someone would call back in 24 to 72 hours.  Six days later, after no one called, I spent another hour on the phone to be told they really meant it this time and someone would call me back.  I'm sure the software works fine if you can actually get it installed correctly, but good luck if you choose to go this route.  I'm going to cut my losses and try another software to finish the job.  I have Windows 7 and a normal HP computer.    10 days later - no response from H&R Block.  One of the worst customer experiences I've had."
1,"Spent tremendous amount time to chat and talk to H&R reps for ONE very very simple issue - to attached a &#34;signature&#34; form to efile. Multiple reps asked for the symptom again and again and again but always failed to capture, not to mention to identify root causes. Reps appear not well trained, unable to do simple trouble shooting, in one or two cases can't even navigate through the software interface. Chat session doesn't allow screen share, send screenshot, can't even copy paste error message!!! Overall it is a very unprofessional product combined with less unknowable reps, and those are US onshore reps, can you imagine one rep took one hour 17 minutes on the phone then just provided me an email address where I can attach a tax file for further trouble shooting?"
3,The software works fine but in order save the 1040 forms as a PDF it leads you to install PDF995 even though you may already have a PDF package on your computer.<br /><br />In order to save it as a PDF without installing PDF995 you have to set H&R Block print options to print as a PDF and then you can print as a PDF and save it that way.<br />It does not save this setup so you have to make the change each time you open the software.<br /><br />I was going to use their Chat and Community to ask a question and I found out they do not use https so when you register your info is not secure.<br /><br />Now if their website does not use https what does that say about sending your tax data over their servers.
1,"I have been a satisfied basic Quicken user for more than 10 years. I upgraded the deluxe version in 2008 because it was \\""free\\"" with a rebate. Now I find out that I cannot use the 2010 basic version with my old data and have to create all new data. Or continue to buy the more costly deluxe version (which includes features I do not need). This is a real gotcha - not forecast when upgrading earlier - consumer beware."
2,Never worked for me
5,"I just got my laptop a while ago, installed this antivirus and have never had a problem with viruses. It is constantly updating the software that needs to be updated, and does weekly virus scans. It's a great service."
1,"Unlike Turbo Tax, this software is very cumbersome - it doesn't allow you to move easily between sections.  Data transferred from prior year return not complete and trying to do a joint but separate state return requires one to renter all data and divide income. A terrible product"
2,Free? Not exactly. crippled utilities with constant nag-ware to &#34;upgrade&#34;. Uninstalling after just one day to get a paid subscription.. Of Norton Security..
1,"Despite writing directly to the company selling the download, attempting to install multiple times, and going through various trouble shooting attempts, I still have no internet security downloaded on my computer. I think this is a fraudulent copy of  Norton. I would suggest getting this download from the Norton site directly. I have purchased the download in the past from Amazon for Norton and it worked wonderfully. I am frustrated that I haven't heard back and my money was uselessly spent."
2,sorry  too hard to learn...I loved MS Money
4,No surprises with this one. Have been using it for years and has always been a good value tor the money
5,It was very comprehensive and as always user-friendly. just great! I like how complete it is  and the great electronic filing system it has.  I got my refund in less than 10 days!  Thank you!
3,Download from purchase hung. Canceled and Re-launched 'Amazon Downloader' (TurboTax_Home_Business_2014_Fed_State_Fed_Efile_Tax_Software_Refund_Bonus_Offer_Win_Downloader.exe) from Win-7 Download Folder also hung. Downloaded  (Download Dashboard)  from Games & Software Amz site and it then automatically started downloading this product and the gave option to install.
3,"I was disappointed that the state module did not support electronic fund (EFT) payments for taxes due, even though my state, NC accepts EFTs from tax software. You would think H&R Block software would support it, but it does not. It was not a huge problem, because it was possible to make an EFT payment directly via NC's Dept of Revenue web site."
5,I was reading the reviews on this and decided to download it and try it for myself and honestly I really do love this software it does what it's suppose to do and I have had zero issues with it so far. What I like most about it is the fact that it doesn't slow everything down when it scans in the background which I always had issues when I tried other virus protection software's. I will update this review once the full year on webroot is done
1,"So, if you're the one who has been the primary user of TurboTax, using it is easier to use than if you are the one who is the secondary user.  To be more clear, TT doesn't give you the option to switch who is the primary user (if it refers to you as the spouse or the preparer).<br /><br />For example, I am getting a divorce.  Since my husband wanted his name to be the primary name in the software, his name is first and mine second even though I prepared some of our tax returns.  So, in the case of a divorce, when you go to import your information from your joint return from last year, you get 2 options:  to manually delete your \\""spouse's\\"" information or to start a new return.  If you choose the spouse option, TT automatically removed my information and assumed that my husband was the preparer of the return because I was the \\""spouse\\"".  I typed my name into the personal profile information and replaced his when the opportunity arose, but the software continued to refer to him as the preparer and me as the spouse so when it came time for me to enter my information it assumed I was him.  The upshot of this is there is no way for me to import information (profile, investments, employer info, whatever) from last year because TT makes assumptions about who you are and doesn't allow you to change those assumptions.  I have to start all over again and type everything in from scratch!<br /><br />TurboTax PLEASE develop a way to switch who is primary in the software and who is secondary!<br /><br />Yuck!  What spouse hostile software this is!"
3,"First of all, I was more than a little upset that Quicken 'forced' me to upgrade by terminating the online updates from my financial institutions.  I understand they don't want to support older versions but why terminate a perfectly working online update...other than to force folks to upgrade.  I SINCERELY wish there was another competing financial management software out there as I would dump Quicken ASAP just for the above reason.<br /><br />Anyway...I did upgrade and the process was painful as the financial institutions all had to be manually re-entered and I spend several hours working to get them synced up again.  The program now works fine, but so did my 2010 version."
2,"I have done my taxes the last two years with Turbo Tax discs, both have failed and had to have customer service complete the filing. I have been told the download version runs better."
5,"I'm having so much fun with this program!  I purchased it to do rough plans of my dream home.  I'm going through the learning curve, but the tutorials are good and everything gets easier with practice, right?  I especially like the 3D capability... it helps to visualize space needs and didn't take me long to spot that I was over-generous with space for guest bathrooms.  Some were as large as bedrooms!  Great product.. and will get better as I become more familiar."
2,"After doing research and checking reviews on the BitDefender, i purchased it. After installing the program my pc was working VERY slow, this was on my desk top and my laptop, performance was so poor i had to uninstall from both pc's and return the product. One of the main reasons i bought this product was because it stated that it would not slow down your pc."
2,"I dowloaded the software in January and started working on my business return.  However, I quickly ran into problems with missing forms.  As of February 4th it is still impossible to work on the California return.  Of course I also second some of the other comments found elsewhere here.<br /><br />The fact that the software cannot import from Turbotax is surprising and disappointing.<br />The user interface is terrible."
4,"Pretty much the same. It's a solid product, but I wish it didn't auto-fill the categories with the last entry."
3,"Purchased this version and did not use, wasted money this tax season . . ."
